prime	prime_code	target_code	target	Qtest	Syllabe	position	Qdur	phrase	response	Code_Q	 inst; 
P1	2	102	n05	rappel	2	2	500	0	2	122	 tapping1; 
P1	2	102	f18	liesse	1	3	500	3	2	122	 tapping; 
P1	2	102	f09	pieges	1	2	500	2	2	122	 tapping; 
P1	2	102	f06	mot_rien	1	3	500	3	2	122	 tapping; 
P2	4	104	f01	ouest	1	3	500	2	1	114	 both1; 
P2	4	104	test24	note	1	3	500	0	1	214	 both; 
P2	4	104	test22	gite	1	3	500	0	2	224	 both; 
P2	4	104	test07	joue	1	3	500	2	1	214	 both; 
P2	3	103	f02	car	1	2	500	3	1	113	 beat1; 
P2	3	103	f19	cheveux	2	2	500	2	1	113	 beat; 
P2	3	103	n07	sonne	1	3	500	0	2	223	 beat; 
P2	3	103	f07	lances	1	3	500	0	2	123	 beat; 
P2	4	104	f05	phase	1	2	500	2	2	124	 both1; 
P2	4	104	test09	coffre	1	3	500	3	2	224	 both; 
P2	4	104	test12	prend	1	3	500	0	1	214	 both; 
P2	4	104	test19	met	1	2	500	0	2	224	 both; 
P1	2	102	f15	endroit	2	2	500	0	2	122	 tapping1; 
P1	2	102	test21	cuit	1	3	500	2	1	212	 tapping; 
P1	2	102	f10	temps	1	3	500	0	1	112	 tapping; 
P1	2	102	f13	berge	1	3	500	0	1	112	 tapping; 
P2	4	104	n03	lave	1	2	500	3	2	124	 both1; 
P2	4	104	n13	saute	1	3	500	2	1	214	 both; 
P2	4	104	f11	biens	1	2	500	0	2	124	 both; 
P2	4	104	f16	vie	1	2	500	2	1	114	 both; 
P0	1	101	f21	killer	2	2	500	3	2	121	 none1; 
P0	1	101	test14	squatte	1	2	500	0	2	221	 none; 
P0	1	101	f14	piste	1	3	500	2	1	111	 none; 
P0	1	101	test08	clame	1	3	500	0	2	221	 none; 
P1	2	102	n09	impose	2	2	500	0	2	222	 tapping1; 
P1	2	102	test13	voit	1	2	500	3	1	212	 tapping; 
P1	2	102	f03	monde	1	3	500	2	1	112	 tapping; 
P1	2	102	f12	vierges	1	2	500	3	2	122	 tapping; 
P2	3	103	n06	contient	2	2	500	2	2	223	 beat1; 
P2	3	103	test06	fete	1	3	500	3	1	213	 beat; 
P2	3	103	n04	lache	1	3	500	0	2	223	 beat; 
P2	3	103	n11	achats	2	3	500	0	1	113	 beat; 
P1	2	102	f23	traces	1	3	500	0	1	112	 tapping1; 
P1	2	102	n10	mere	1	2	500	0	1	112	 tapping; 
P1	2	102	test10	joue	1	3	500	0	1	212	 tapping; 
P1	2	102	test16	met	1	2	500	3	1	212	 tapping; 
P0	1	101	test03	cerne	1	2	500	3	2	221	 none1; 
P0	1	101	f22	denier	2	2	500	0	2	121	 none; 
P0	1	101	test04	gene	1	3	500	0	2	221	 none; 
P0	1	101	test11	glace	1	2	500	3	2	221	 none; 
P2	3	103	f04	foule	1	2	500	3	1	113	 beat1; 
P2	3	103	test05	vient	1	3	500	0	1	213	 beat; 
P2	3	103	f20	raisins	2	2	500	3	2	123	 beat; 
P2	3	103	f24	paille	1	2	500	0	1	113	 beat; 
P2	4	104	test18	sente	1	2	500	3	2	224	 both1; 
P2	4	104	test01	met	1	3	500	0	1	214	 both; 
P2	4	104	test17	noie	1	3	500	3	1	214	 both; 
P2	4	104	test15	vide	1	3	500	0	1	214	 both; 
P2	3	103	test02	peut	1	3	500	3	2	223	 beat1; 
P2	3	103	f08	armoire	2	3	500	0	1	113	 beat; 
P2	3	103	test23	couine	1	3	500	0	1	213	 beat; 
P2	3	103	test25	prouve	1	2	500	2	2	223	 beat; 
P0	1	101	n01	lappe	1	2	500	0	1	211	 none1; 
P0	1	101	n12	sentier	2	2	500	0	2	121	 none; 
P0	1	101	f17	sommeil	2	2	500	0	2	121	 none; 
P0	1	101	n14	bateau	2	2	500	2	1	111	 none; 
